division,when,team1,team2,time_tot,win,hurdles,name1,start_chng1,time1,name2,start_chng2,time2,name3,start_chng3,time3,name4,start_chng4,time4,event,course_color
5,2020-01-01 11:47:47,WildRunners Maximini,Akela Rush,18.7,W,25.0,Gerry,0.01,4.43,Riley,0.25,4.66,Bree,0.22,4.18,Bella,0.35,4.6,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 11:47:47,Akela Rush,WildRunners Maximini,18.52,L,15.0,Rosie,0.07,4.34,Ízisz,0.2,4.56,Zoya,0.43,4.63,Delta,-1.0,4.31,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 11:52:57,FOFR DOG,Fire-Drakes,18.45,W,22.5,Hessie,0.23,4.74,Dizzy,0.19,4.37,Daggry,0.0,3.85,Ogi,0.18,4.91,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 11:53:59,FOFR DOG,Fire-Drakes,18.51,W,22.5,Hessie,0.23,4.84,Dizzy,0.0,4.42,Daggry,0.2,3.91,Ogi,0.0,4.9,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 11:55:04,FOFR DOG,Fire-Drakes,18.33,W,22.5,Hessie,0.08,4.86,Dizzy,0.14,4.34,Daggry,0.0,3.94,Ogi,0.14,4.84,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 11:59:44,Hop Trop HURRICANE,Hellodogs Next Generation,17.63,L,20.0,Fler,0.0,4.22,Uta,0.16,4.59,Cayenne,0.0,4.18,Choose,-1.0,4.48,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 11:59:44,Hellodogs Next Generation,Hop Trop HURRICANE,18.15,L,17.5,Deni,0.31,4.47,Cherry,0.0,4.08,Shelby,0.21,4.46,Firgi,-0.09,4.72,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 12:00:57,Hop Trop HURRICANE,Hellodogs Next Generation,18.02,W,20.0,Fler,0.02,4.41,Uta,0.27,4.5,Cayenne,0.0,4.28,Choose,0.1,4.45,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 12:00:57,Hellodogs Next Generation,Hop Trop HURRICANE,18.36,L,17.5,Deni,0.1,4.57,Cherry,0.0,4.16,Shelby,0.0,4.6,Firgi,0.0,4.92,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 12:02:36,Hop Trop HURRICANE,Hellodogs Next Generation,17.73,W,20.0,Fler,0.0,4.36,Uta,0.0,4.58,Cayenne,0.0,4.18,Choose,0.14,4.47,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 12:02:36,Hellodogs Next Generation,Hop Trop HURRICANE,18.65,L,17.5,Cherry,0.13,4.1,Bella,0.0,4.23,Shelby,-1.0,4.61,Firgi,0.0,5.59,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 12:09:56,BomBallance Flyball Team,CrazyBalls II.,17.53,L,22.5,Panka,0.08,4.48,Fléche,-1.0,4.27,Simon,0.0,4.8,Koni,-0.23,4.12,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 12:09:56,CrazyBalls II.,BomBallance Flyball Team,19.65,L,20.0,Tequila,0.08,5.17,Milly,-1.0,,Trix,-1.0,5.28,Kokoska,0.0,4.47,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 12:11:08,BomBallance Flyball Team,CrazyBalls II.,17.84,W,22.5,Panka,0.13,4.62,Fléche,0.0,4.51,Simon,-0.17,,Koni,-1.0,4.14,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 12:11:08,CrazyBalls II.,BomBallance Flyball Team,20.4,L,20.0,Tequila,0.25,5.15,Milly,0.33,4.79,Trix,0.0,5.48,Kokoska,0.0,4.4,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 12:12:35,BomBallance Flyball Team,CrazyBalls II.,18.42,L,22.5,Panka,0.06,4.67,Fléche,-1.0,4.76,Simon,0.0,4.76,Koni,0.0,4.17,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 12:12:35,CrazyBalls II.,BomBallance Flyball Team,33.0,L,20.0,Tequila,0.4,5.13,Milly,0.16,4.76,Trix,-1.0,,Kokoska,-1.0,4.36,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 12:19:33,Furious Rockets,JokerZ Fun,19.25,L,25.0,Rony,0.09,4.64,Bárny,0.29,4.67,Cassiann,-1.0,4.3,Šanty,0.6,4.67,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 12:19:33,JokerZ Fun,Furious Rockets,18.63,L,17.5,Kleo,0.21,4.25,Trufa,0.0,4.31,Keru,-1.0,4.73,Taz,0.0,5.13,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 12:21:26,Furious Rockets,JokerZ Fun,19.82,L,25.0,Rony,-0.07,4.74,Bárny,0.17,4.87,Cassiann,0.0,4.38,Šanty,0.39,5.35,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 12:21:26,JokerZ Fun,Furious Rockets,19.71,W,17.5,Kleo,0.22,4.2,Trufa,0.0,4.41,Keru,0.0,4.8,Taz,0.19,5.89,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 12:22:28,Furious Rockets,JokerZ Fun,19.79,L,25.0,Rony,-0.003,4.52,Bárny,-1.0,5.63,Cassiann,0.27,4.31,Šanty,0.22,4.85,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 12:22:28,JokerZ Fun,Furious Rockets,18.64,L,17.5,Kleo,-0.02,4.2,Trufa,0.0,4.41,Keru,0.0,4.87,Taz,0.0,5.18,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 12:29:12,Yelly BEAST,Too X-treme,18.22,L,20.0,Elina,-0.08,3.91,Derby,0.45,4.39,Nola,0.19,4.11,Blizzard,0.14,5.11,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 12:29:12,Too X-treme,Yelly BEAST,18.63,L,15.0,Fren,-0.1,4.32,Aranka,0.0,4.28,Ruby,0.23,4.77,Kyle,0.0,5.12,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 12:30:26,Yelly BEAST,Too X-treme,18.85,W,20.0,Elina,0.04,3.97,Derby,0.42,4.47,Nola,0.0,4.68,Blizzard,0.19,5.09,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 12:30:26,Too X-treme,Yelly BEAST,18.58,L,15.0,Fren,0.11,4.29,Aranka,-1.0,4.26,Ruby,0.0,4.9,Kyle,0.0,5.02,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 12:31:40,Yelly BEAST,Too X-treme,18.23,L,20.0,Elina,0.003,3.99,Derby,0.32,4.49,Nola,-0.13,4.26,Blizzard,0.17,5.14,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 12:31:40,Too X-treme,Yelly BEAST,18.96,W,15.0,Fren,0.05,4.34,Aranka,0.0,4.37,Ruby,0.0,4.98,Kyle,0.35,4.88,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
7,2020-01-01 13:12:15,Flyvaryors Kamikaze,Hop Trop PANTHERS,18.74,W,15.0,Wooffy,0.05,3.88,Angie,0.3,4.41,Emmy,0.0,4.41,Idaho,0.0,5.69,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
7,2020-01-01 13:12:15,Hop Trop PANTHERS,Flyvaryors Kamikaze,19.05,L,17.5,DeeVee,0.17,4.84,Dixi,0.0,4.57,Wyn,0.0,4.36,Bridget,0.26,4.86,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
7,2020-01-01 13:13:35,Flyvaryors Kamikaze,Hop Trop PANTHERS,18.37,L,15.0,Wooffy,0.04,3.84,Angie,0.0,4.58,Emmy,0.0,4.32,Idaho,0.0,5.59,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
7,2020-01-01 13:13:35,Hop Trop PANTHERS,Flyvaryors Kamikaze,18.41,L,17.5,DeeVee,0.16,4.66,Dixi,-0.24,4.68,Wyn,0.0,4.33,Bridget,0.0,4.82,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
7,2020-01-01 13:15:04,Flyvaryors Kamikaze,Hop Trop PANTHERS,30.15,L,15.0,Wooffy,0.17,3.88,Angie,0.13,4.55,Emmy,-1.0,4.28,Idaho,0.0,5.74,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
7,2020-01-01 13:15:04,Hop Trop PANTHERS,Flyvaryors Kamikaze,18.9,L,17.5,DeeVee,0.17,4.71,Dixi,-1.0,4.61,Wyn,0.0,4.37,Bridget,0.0,5.04,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
7,2020-01-01 13:16:17,Flyvaryors Kamikaze,Hop Trop PANTHERS,18.77,L,15.0,Wooffy,0.06,3.88,Angie,0.24,4.62,Emmy,0.0,4.33,Idaho,-1.0,5.65,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
7,2020-01-01 13:16:17,Hop Trop PANTHERS,Flyvaryors Kamikaze,18.76,L,17.5,DeeVee,0.07,4.63,Dixi,-1.0,4.61,Wyn,0.14,4.22,Bridget,0.23,4.85,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
7,2020-01-01 13:24:58,FOFR DOG future,Akela Spirit,19.82,L,22.5,Ela,0.2,4.15,Lenny,0.0,4.35,Elli,0.31,5.24,Sigy,0.47,5.11,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
7,2020-01-01 13:24:58,Akela Spirit,FOFR DOG future,18.54,L,15.0,Emma,0.009,4.35,Alba,0.0,5.26,Roy,0.0,4.42,Bodza,-1.0,4.5,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
7,2020-01-01 13:26:36,FOFR DOG future,Akela Spirit,34.13,L,22.5,Ela,0.04,4.26,Lenny,0.15,4.3,Elli,0.54,4.25,Sigy,2.2,4.97,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
7,2020-01-01 13:26:36,Akela Spirit,FOFR DOG future,19.15,W,15.0,Emma,0.17,4.39,Alba,0.0,5.26,Roy,0.17,4.47,Bodza,0.0,4.69,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
7,2020-01-01 13:28:31,FOFR DOG future,Akela Spirit,19.86,W,22.5,Ela,0.09,4.2,Lenny,0.27,4.29,Elli,0.94,4.74,Sigy,0.3,5.03,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
7,2020-01-01 13:28:31,Akela Spirit,FOFR DOG future,18.79,L,15.0,Maya,-0.06,4.13,Alba,0.31,5.17,Roy,0.0,4.47,Bodza,0.0,4.78,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
7,2020-01-01 13:30:01,FOFR DOG future,Akela Spirit,29.14,L,22.5,Ela,0.06,4.17,Lenny,0.0,4.32,Elli,0.3,4.86,Sigy,0.38,5.2,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
7,2020-01-01 13:30:01,Akela Spirit,FOFR DOG future,19.99,W,15.0,Maya,0.04,4.21,Alba,0.0,5.29,Roy,0.0,5.61,Bodza,0.23,4.61,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 13:36:55,DumbleDogs S,CrazyBalls I.,83.35,NA,25.0,Iyrai,0.04,3.85,Cammi,0.0,3.69,Criss,0.13,5.78,Flash,0.75,64.52,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 13:38:15,DumbleDogs S,CrazyBalls I.,20.3,L,25.0,Iyrai,0.04,3.85,Cammi,-1.0,3.66,Criss,0.25,4.75,Flash,3.21,4.55,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 13:39:57,DumbleDogs S,CrazyBalls I.,28.25,L,25.0,Iyrai,0.09,3.9,Cammi,0.19,3.74,Criss,0.55,4.59,Flash,10.15,5.04,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 13:39:57,CrazyBalls I.,DumbleDogs S,40.8,W,20.0,Fanny,0.39,,Mia,-1.0,3.96,Aivee,0.18,3.89,Flek,2.17,4.68,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 13:41:17,DumbleDogs S,CrazyBalls I.,27.94,L,25.0,Iyrai,0.01,3.9,Cammi,0.0,3.81,Criss,0.45,4.52,Flash,9.92,5.34,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 13:41:17,CrazyBalls I.,DumbleDogs S,19.65,W,20.0,Fanny,0.03,4.3,Mia,0.54,3.94,Aivee,0.53,3.91,Flek,1.52,4.88,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 13:42:45,DumbleDogs S,CrazyBalls I.,28.19,W,25.0,Iyrai,0.08,3.8,Cammi,0.19,3.75,Criss,0.38,4.88,Flash,9.46,5.65,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 13:42:45,CrazyBalls I.,DumbleDogs S,20.19,L,20.0,Fanny,0.13,4.96,Mia,0.8,4.14,Aivee,0.48,3.83,Flek,1.07,4.78,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 13:48:15,Hop Trop PRAGUE,X-treme,57.4,L,17.5,Roník,0.53,3.86,Axelle,1.94,4.36,Fay,-1.0,3.85,Carmela,0.81,4.22,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 13:48:15,X-treme,Hop Trop PRAGUE,16.61,L,25.0,Mína,0.14,3.87,Izzy,0.0,4.29,Audík,-1.0,4.1,Nesi,0.0,4.21,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 13:49:26,Hop Trop PRAGUE,X-treme,30.98,L,17.5,Roník,0.39,3.9,Axelle,1.77,4.28,Fay,0.2,3.97,Carmela,0.59,4.22,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 13:49:26,X-treme,Hop Trop PRAGUE,16.7,L,25.0,Mína,0.14,3.91,Izzy,-1.0,4.21,Audík,0.0,4.15,Nesi,0.16,4.13,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 13:53:01,Hop Trop PRAGUE,X-treme,26.65,L,17.5,Fay,0.15,4.0,Axelle,0.0,4.34,Carmela,0.29,4.15,Roník,9.5,4.23,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 13:53:01,X-treme,Hop Trop PRAGUE,16.62,W,25.0,Mína,0.07,3.9,Izzy,0.0,4.28,Audík,0.0,4.18,Nesi,0.0,4.2,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 13:58:08,RUNami A,New Ballance Flyball Team,16.86,L,25.0,Čoko,0.06,4.38,Elia,-0.2,4.29,Fík,0.19,3.95,Black,0.2,3.98,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 13:58:08,New Ballance Flyball Team,RUNami A,17.3,L,22.5,Biff,0.14,4.25,Jazzy,-1.0,4.17,Enola,-1.0,4.39,Pí,0.2,4.15,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 13:59:39,RUNami A,New Ballance Flyball Team,23.87,L,25.0,Čoko,0.15,4.36,Elia,0.0,4.18,Fík,-1.0,,Black,-1.0,4.08,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 13:59:39,New Ballance Flyball Team,RUNami A,18.04,W,22.5,Biff,0.09,4.21,Jazzy,0.0,4.22,Enola,0.0,4.22,Pí,0.0,5.3,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 14:01:02,RUNami A,New Ballance Flyball Team,28.93,L,25.0,Čoko,0.03,4.38,Elia,0.18,4.22,Fík,0.0,3.91,Black,0.0,4.07,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 14:01:02,New Ballance Flyball Team,RUNami A,17.2,L,22.5,Biff,0.15,4.2,Jazzy,0.0,4.18,Enola,-1.0,4.28,Pí,0.0,4.39,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 14:03:27,RUNami A,New Ballance Flyball Team,40.24,L,25.0,Čoko,0.11,4.34,Elia,0.0,4.24,Fík,0.0,3.96,Black,0.0,4.23,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 14:03:27,New Ballance Flyball Team,RUNami A,17.04,W,22.5,Biff,0.008,4.19,Jazzy,0.0,4.19,Enola,0.0,4.36,Riley,0.0,4.29,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 14:08:19,Pilsen F.A.S.T.,Hellodogs Rebounds,19.12,L,25.0,Jolly,-0.06,5.69,Laty,0.99,3.85,Ace,0.14,4.24,Easy,0.15,4.13,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 14:08:19,Hellodogs Rebounds,Pilsen F.A.S.T.,16.95,L,17.5,Midi,-0.02,4.01,Lara,0.0,4.13,Negró,0.0,4.84,Cookie,0.0,3.98,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 14:09:38,Pilsen F.A.S.T.,Hellodogs Rebounds,17.52,L,25.0,Jolly,0.35,4.46,Laty,0.41,4.01,Ace,0.0,4.3,Easy,-0.23,4.22,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 14:09:38,Hellodogs Rebounds,Pilsen F.A.S.T.,17.09,W,17.5,Midi,0.05,4.11,Lara,0.0,4.05,Negró,0.0,4.95,Cookie,0.12,3.81,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 14:10:49,Pilsen F.A.S.T.,Hellodogs Rebounds,17.11,L,25.0,Jolly,0.19,4.45,Laty,0.16,3.92,Ace,-1.0,4.25,Easy,-0.21,4.36,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 14:10:49,Hellodogs Rebounds,Pilsen F.A.S.T.,16.87,L,17.5,Midi,0.04,4.03,Lara,0.22,4.04,Negró,0.0,4.83,Cookie,-1.0,3.71,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
3,2020-01-01 14:12:11,Pilsen F.A.S.T.,Hellodogs Rebounds,17.8,W,25.0,Jolly,0.27,4.47,Laty,0.22,4.0,Ace,0.0,4.25,Easy,0.33,4.25,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
3,2020-01-01 14:12:11,Hellodogs Rebounds,Pilsen F.A.S.T.,17.33,L,17.5,Midi,0.02,4.69,Lara,-0.5,4.07,Negró,0.0,5.03,Cookie,0.0,4.01,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 14:17:56,Akela Rush,Wing BEAST,17.8,L,15.0,Rosie,0.06,4.29,Ízisz,0.26,4.49,Zoya,0.18,4.53,Oszkár,0.26,3.72,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 14:17:56,Wing BEAST,Akela Rush,17.97,L,15.0,Tizy,0.11,4.06,Brooklyn,0.14,3.81,Jamie,0.0,4.37,Joker,-0.11,5.6,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 14:19:32,Akela Rush,Wing BEAST,18.41,L,15.0,Rosie,0.08,4.34,Ízisz,0.26,4.48,Zoya,0.0,4.65,Oszkár,0.29,4.31,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 14:19:32,Wing BEAST,Akela Rush,18.29,W,15.0,Tizy,0.06,4.14,Brooklyn,0.0,3.86,Jamie,0.11,4.27,Joker,0.13,5.73,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 14:20:44,Akela Rush,Wing BEAST,18.08,W,15.0,Rosie,0.08,4.38,Ízisz,0.27,4.65,Zoya,0.19,4.64,Oszkár,0.0,3.87,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 14:20:44,Wing BEAST,Akela Rush,18.15,L,15.0,Tizy,0.08,4.14,Brooklyn,0.12,3.85,Jamie,0.0,4.34,Joker,-1.0,5.62,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 14:29:27,WildRunners Maximini,Fire-Drakes,18.58,L,25.0,Gerry,0.14,4.47,Bree,0.47,4.14,Bruno,-1.0,4.69,Bella,0.0,4.67,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 14:30:21,WildRunners Maximini,Fire-Drakes,18.92,W,25.0,Gerry,0.29,4.63,Bree,0.15,4.2,Bruno,0.23,4.73,Bella,0.0,4.7,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 14:31:15,WildRunners Maximini,Fire-Drakes,18.86,L,25.0,Gerry,0.05,4.57,Bree,0.22,4.22,Bruno,0.31,4.85,Bella,-0.21,4.85,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 14:36:40,Hop Trop HURRICANE,FOFR DOG,41.11,L,25.0,Fler,0.11,4.38,Uta,0.22,4.47,Cayenne,0.0,4.42,Lucka,0.75,4.21,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 14:36:40,FOFR DOG,Hop Trop HURRICANE,18.39,W,22.5,Hessie,0.02,4.69,Dizzy,0.0,4.43,Tex,0.26,3.92,Ogi,0.23,4.86,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 14:37:44,Hop Trop HURRICANE,FOFR DOG,18.73,L,25.0,Fler,0.02,4.65,Uta,0.25,4.42,Cayenne,0.2,4.31,Lucka,0.75,4.13,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 14:37:44,FOFR DOG,Hop Trop HURRICANE,18.23,W,22.5,Hessie,0.03,4.73,Dizzy,0.0,4.45,Tex,0.15,3.91,Ogi,0.0,4.96,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
5,2020-01-01 14:39:01,Hop Trop HURRICANE,FOFR DOG,18.16,W,25.0,Fler,0.02,4.4,Uta,0.24,4.46,Cayenne,0.0,4.42,Lucka,0.4,4.22,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
5,2020-01-01 14:39:01,FOFR DOG,Hop Trop HURRICANE,18.14,L,22.5,Hessie,0.1,4.75,Dizzy,0.0,4.43,Tex,0.0,3.98,Ogi,-1.0,4.88,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 14:45:45,CrazyBalls II.,DumbleDogs G,37.91,L,20.0,Arlett,0.008,4.35,Milly,0.36,4.74,Scotty,0.42,4.34,Kokoska,-1.0,4.4,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 14:45:45,DumbleDogs G,CrazyBalls II.,19.16,W,25.0,Enjoy,0.09,4.46,Ridiculus,0.16,4.34,Dasty,0.19,5.35,Kiwi,0.0,4.57,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 14:47:06,CrazyBalls II.,DumbleDogs G,30.99,L,20.0,Arlett,0.05,4.45,Milly,0.22,4.88,Scotty,0.0,4.46,Kokoska,-1.0,4.42,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 14:47:06,DumbleDogs G,CrazyBalls II.,19.19,L,25.0,Enjoy,0.07,4.51,Ridiculus,0.17,4.33,Dasty,0.24,5.32,Kiwi,-1.0,4.54,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 14:48:20,CrazyBalls II.,DumbleDogs G,18.64,L,20.0,Arlett,0.09,4.5,Milly,0.16,4.92,Scotty,0.19,4.5,Kokoska,-0.16,4.44,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 14:48:20,DumbleDogs G,CrazyBalls II.,19.56,W,25.0,Enjoy,0.03,4.42,Ridiculus,0.16,4.32,Dasty,0.37,5.52,Kiwi,0.18,4.57,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 14:55:01,JokerZ Fun,BomBallance Flyball Team,17.98,L,17.5,Trufa,-0.11,4.21,LeeLoo,-1.0,4.25,Khumba,0.0,4.49,Taz,0.0,5.14,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 14:55:01,BomBallance Flyball Team,JokerZ Fun,17.75,L,22.5,Panka,-0.06,4.54,Fléche,0.0,4.39,Simon,0.15,4.62,Koni,-1.0,4.11,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 14:56:09,JokerZ Fun,BomBallance Flyball Team,19.7,L,17.5,Trufa,-0.08,4.32,LeeLoo,0.0,4.75,Khumba,0.0,4.61,Taz,0.0,6.1,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 14:56:09,BomBallance Flyball Team,JokerZ Fun,18.25,W,22.5,Panka,0.06,4.53,Fléche,0.17,4.33,Simon,0.0,4.84,Koni,0.12,4.2,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 14:57:10,JokerZ Fun,BomBallance Flyball Team,18.77,L,17.5,Trufa,0.04,4.33,LeeLoo,0.0,4.36,Khumba,0.0,4.73,Taz,0.0,5.31,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 14:57:10,BomBallance Flyball Team,JokerZ Fun,18.27,W,22.5,Panka,0.05,4.64,Fléche,0.17,4.45,Simon,0.0,4.84,Koni,0.0,4.12,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 15:01:35,Yelly BEAST,Furious Rockets,18.62,L,20.0,Zoey,0.004,4.26,Derby,-1.0,4.42,Evo,0.0,4.73,Blizzard,0.0,5.2,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 15:01:35,Furious Rockets,Yelly BEAST,28.17,W,25.0,Kostimill,0.02,4.74,Bárny,0.0,4.96,Shadow,0.0,4.72,Šanty,0.23,4.83,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 15:02:48,Yelly BEAST,Furious Rockets,18.35,L,20.0,Zoey,-0.04,4.29,Derby,0.0,4.53,Evo,-1.0,4.12,Blizzard,0.17,5.27,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
6,2020-01-01 15:02:48,Furious Rockets,Yelly BEAST,19.1,L,25.0,Kostimill,-0.09,4.75,Bárny,-0.18,5.02,Shadow,0.0,4.77,Šanty,0.0,4.83,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,red
6,2020-01-01 15:03:55,Yelly BEAST,Furious Rockets,18.57,W,20.0,Zoey,0.005,4.33,Derby,0.0,4.6,Evo,0.0,4.23,Blizzard,0.15,5.25,Eager´s Cup 2. ring (Žamberk) 2023. május 6-7.,blue
